date,value
1640995200,3
1641081600,2
1641168000,2
1641254400,5
1641340800,2
1641427200,2
1641513600,2
1641600000,3
1641686400,3
1641772800,2
1641859200,3
1641945600,5
1642032000,5
1642118400,5
1642204800,3
1642291200,2
1642377600,1
1642464000,5
1642550400,3
1642636800,2
1642723200,2
1642809600,3
1642896000,4
1642982400,2
1643068800,2
1643155200,3
1643241600,2
1643328000,2
1643414400,2
1643500800,2
1643587200,2
1643673600,5
1643760000,3
1643846400,1
1643932800,2
1644019200,3
1644105600,2
1644192000,5
1644278400,5
1644364800,5
1644451200,4
1644537600,4
1644624000,2
1644710400,5
1644796800,5
1644883200,2
1644969600,1
1645056000,5
1645142400,3
1645228800,2
1645315200,2
1645401600,2
1645488000,5
1645574400,5
1645660800,2
1645747200,4
1645833600,3
1645920000,3
1646006400,5
1646092800,5
1646179200,5
1646265600,3
1646352000,3
1646438400,3
1646524800,2
1646611200,3
1646697600,2
1646784000,3
1646870400,3
1646956800,5
1647043200,2
1647129600,1
1647216000,2
1647302400,2
1647388800,4
1647475200,1
1647561600,1
1647648000,2
1647734400,1
1647820800,1
1647907200,2
1647993600,5
1648080000,4
1648166400,2
1648252800,1
1648339200,5
1648425600,5
1648512000,3
1648598400,1
1648684800,2
1648771200,2
1648857600,3
1648944000,5
1649030400,5
1649116800,2
1649203200,3
1649289600,5
1649376000,5
1649462400,3
1649548800,5
1649635200,5
1649721600,2
1649808000,5
1649894400,2
1649980800,3
1650067200,5
1650153600,4
1650240000,2
1650326400,2
1650412800,2
1650499200,2
1650585600,3
1650672000,1
1650758400,2
1650844800,1
1650931200,5
1651017600,5
1651104000,5
1651190400,5
1651276800,5
1651363200,5
1651449600,5
1651536000,5
1651622400,5
1651708800,2
1651795200,3
1651881600,3
1651968000,2
1652054400,2
1652140800,2
1652227200,2
1652313600,1
1652400000,1
1652486400,4
1652572800,2
1652659200,3
1652745600,2
1652832000,1
1652918400,2
1653004800,3
1653091200,2
1653177600,5
1653264000,3
1653350400,4
1653436800,5
1653523200,3
1653609600,2
1653696000,2
1653782400,4
1653868800,3
1653955200,3
1654041600,2
1654128000,2
1654214400,2
1654300800,2
1654387200,4
1654473600,3
1654560000,2
1654646400,2
1654732800,2
1654819200,2
1654905600,2
1654992000,3
1655078400,3
1655164800,3
1655251200,5
1655337600,1
1655424000,2
1655510400,3
1655596800,2
1655683200,2
1655769600,2
1655856000,2
1655942400,2
1656028800,2
1656115200,2
1656201600,2
1656288000,2
1656374400,1
1656460800,1
1656547200,1
1656633600,2
1656720000,3
1656806400,3
1656892800,2
1656979200,2
1657065600,2
1657152000,2
1657238400,2
1657324800,3
1657411200,3
1657497600,2
1657584000,3
1657670400,2
1657756800,2
1657843200,2
1657929600,2
1658016000,2
1658102400,1
1658188800,1
1658275200,1
1658361600,4
1658448000,3
1658534400,3
1658620800,2
1658707200,2
1658793600,3
1658880000,2
1658966400,3
1659052800,1
1659139200,2
1659225600,3
1659312000,4
1659398400,2
1659484800,4
1659571200,5
1659657600,2
1659744000,2
1659830400,2
1659916800,3
1660003200,3
1660089600,4
1660176000,5
1660262400,3
1660348800,3
1660435200,1
1660521600,2
1660608000,2
1660694400,2
1660780800,1
1660867200,3
1660953600,3
1661040000,3
1661126400,1
1661212800,2
1661299200,4
1661385600,2
1661472000,4
1661558400,4
1661644800,2
1661731200,3
1661817600,2
1661904000,2
1661990400,4
1662076800,2
1662163200,2
1662249600,3
1662336000,3
1662422400,2
1662508800,2
1662595200,4
1662681600,1
1662768000,1
1662854400,1
1662940800,5
1663027200,4
1663113600,4
1663200000,2
1663286400,3
1663372800,2
1663459200,2
1663545600,3
1663632000,3
1663718400,4
1663804800,2
1663891200,2
1663977600,4
1664064000,5
1664150400,5
1664236800,4
1664323200,1
1664409600,3
1664496000,2
1664582400,2
1664668800,2
1664755200,3
1664841600,2
1664928000,3
1665014400,2
1665100800,2
1665187200,3
1665273600,1
1665360000,1
1665446400,1
1665532800,5
1665619200,2
1665705600,3
1665792000,2
1665878400,2
1665964800,2
1666051200,3
1666137600,1
1666224000,1
1666310400,1
1666396800,1
1666483200,2
1666569600,1
1666656000,2
1666742400,2
1666828800,2
1666915200,3
1667001600,3
1667088000,2
1667174400,1
1667260800,2
1667347200,3
1667433600,4
1667520000,5
1667606400,5
1667692800,5
1667779200,5
1667865600,5
1667952000,4
1668038400,2
1668124800,2
1668211200,1
1668297600,2
1668384000,2
1668470400,2
1668556800,5
1668643200,3
1668729600,2
1668816000,2
1668902400,5
1668988800,3
1669075200,2
1669161600,5
1669248000,1
1669334400,1
1669420800,2
1669507200,3
1669593600,2
1669680000,3
1669766400,2
1669852800,2
1669939200,3
1670025600,4
1670112000,2
1670198400,5
1670284800,2
1670371200,5
1670457600,5
1670544000,5
1670630400,5
1670716800,2
1670803200,5
1670889600,3
1670976000,2
1671062400,1
1671148800,2
1671235200,2
1671321600,4
1671408000,3
1671494400,3
1671580800,2
1671667200,2
1671753600,2
1671840000,5
1671926400,2
1672012800,3
1672099200,2
1672185600,2
1672272000,2
1672358400,3
1672444800,2
